"For each of the languages, areas, and topics, please check the boxes in each column if you: 


	know something about this and could help teach (no obligation, check as many as you want) - Reproducible Workflows","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Open Science / Open Data platforms","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Web Scraping","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Publication Tools (e.g., markup languages, LaTeX)","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Documentation (tools and best practices)","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Hardware sensors / Internet of Things (e.g., arduino, raspberry pi)","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Novel Architectures (e.g., GPUs)","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Web Development","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Software engineering (including unit testing)","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Other","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Other - Text","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Other","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Other - Text","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Other","For each of the languages, areas, and topics, please check the boxes in each column if you: 


	want something on this at THW (check as many as you want)
	really want something on this at THW (check no more than 5)
	know something about this and could help teach (no obligation, check as many as you want) - Other - Text",Skill level,Personal experience,Presentation style
"{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID1_13""}","{""ImportId"":""QID1_14""}","{""ImportId"":""QID1_15""}","{""ImportId"":""QID1_16""}","{""ImportId"":""QID1_17""}","{""ImportId"":""QID1_18""}","{""ImportId"":""QID1_19""}","{""ImportId"":""QID1_20""}","{""ImportId"":""QID1_21""}","{""ImportId"":""QID1_22""}","{""ImportId"":""QID1_23""}","{""ImportId"":""QID1_24""}","{""ImportId"":""QID1_25""}","{""ImportId"":""QID1_26""}","{""ImportId"":""QID1_27""}","{""ImportId"":""QID1_28""}","{""ImportId"":""QID1_29""}","{""ImportId"":""QID1_30""}","{""ImportId"":""QID1_31""}","{""ImportId"":""QID1_32""}","{""ImportId"":""QID1_33""}","{""ImportId"":""QID1_34""}","{""ImportId"":""QID1_35""}","{""ImportId"":""QID1_36""}","{""ImportId"":""QID1_37""}","{""ImportId"":""QID1_38""}","{""ImportId"":""QID1_38_TEXT""}","{""ImportId"":""QID1_39""}","{""ImportId"":""QID1_39_TEXT""}","{""ImportId"":""QID1_40""}","{""ImportId"":""QID1_40_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID2_1""}"
,"1,3",,,,,,,,,1,,1,,1,1,"1,2",,"1,2,3",,,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,2,2,2
,3,,,,,,,1,1,1,2,2,1,1,1,2,"2,3",,"2,3",1,1,1,1,3,,,,1,,,,,,1,,,,,,,,,3,2,4
1,3,,,,,,,,,,,1,,1,3,1,,,,,2,1,,1,,,,"1,3",,,1,1,,1,3,3,,,,,,,2,2,2
,1,,1,"1,2",,,,,,,,"1,2,3","1,2",1,1,,,,,,1,1,,"1,3","1,3",1,1,1,"1,2,3",,"1,3","1,3",,"1,3",1,"1,2,3",,,,,,,2,3,2
3,,2,,,,,,3,1,,1,,1,,,2,2,1,1,1,1,,,,,2,,1,,,3,,,,,1,,,,,,,2,,3
,1,,,,,,,1,1,1,1,2,2,,1,1,,,1,,2,1,,1,1,1,,,,2,,,,1,,,2,Dask,,,,,2,2,3
1,1,2,,,,,,2,1,2,2,,,2,2,2,2,2,2,2,,2,2,,,,,,,2,,,2,,2,2,,,,,,,1,1,2
,"1,2,3",,,,,,,,,1,,,,,1,"1,2","1,2",1,,,1,,,,,,,,1,"1,2",,,"1,2",,,,1,Mathematica,1,"Conversation about diversity, imposter syndrome, ...",,,2,2,4
"1,3","1,2",,,1,,,,"1,2",1,1,1,,1,,"1,2","1,3","1,3",,,1,1,,,"1,2",1,,,1,1,1,1,,,,"1,2",,,,,,,,1,1,3
1,3,1,1,1,,,,3,2,2,2,1,1,1,1,1,3,,2,1,2,,1,1,,,,,,,,,1,1,,,,,,,,,2,2,3
,,1,,,,,,,,,1,,,,,,1,"1,2",,,1,"1,2",,,,,,,,"1,2",,,,,,,,,,,,,2,1,1
1,"1,2",,,,,,,"1,2",1,1,1,,,,,,,,,"1,2",,,,3,"1,3",1,"1,2",,,,3,1,,,,,,,,,,,2,2,4
2,"2,3",1,,,,1,,,,2,2,,2,"1,3",2,2,2,1,1,1,1,1,,,3,,2,1,1,"2,3",,1,,,"2,3",,"2,3","Google Suite APIs (Apps Script, Rest APIs)",3,Consuming APIs in Python,,,2,2,3
,1,,,,,"1,2",,,,1,"1,2",1,"1,2",1,1,1,1,,1,1,1,,1,,,1,,1,,1,,,,,,,,,,,,,2,1,3
1,"1,2",,1,"1,3",,,,1,,2,2,,,,1,1,2,,,2,,,,1,1,,,,,,1,"1,3",1,1,1,1,,,,,,,2,2,3
,"2,3",,1,1,,,,1,,2,2,2,1,1,1,1,1,1,1,1,2,2,1,"1,3","1,3",2,2,2,1,,3,1,1,1,1,1,,,,,,,2,2,4
"1,2","1,2",,,1,,1,,"1,2",1,"1,2",1,,1,,,"1,2",,,,,,,,1,1,1,1,"1,3","1,3",1,3,,2,,,,,,,,,,2,2,4
,2,,,1,,,,1,1,"1,2",1,,,,2,1,2,1,1,2,,,,1,1,1,2,,2,2,1,1,2,,2,1,,,,,,,2,2,2
