donor,acceptor
332.15775,310.97859
361.30814,343.46903
307.80814,372.08653
455.99485,152.15455
488.80814,146.58153
465.30814,189.54903
471.87286,122.63539
488.80804,146.58175
367.80814,306.28653
404.02322,281.44718
408.30814,326.53403
367.81727,306.2756
403.09513,273.81871
343.30814,309.35903
448.28358,209.85155
404.04233,271.16219
378.30814,276.18403
385.61619,263.39882
423.93792,254.92236
422.66166,281.38325
386.3965,264.79002
366.91395,322.33215
383.30814,330.15903
379.0329,315.75588
358.24207,315.35942
341.80814,288.51653
342.39804,293.53325
339.80814,300.22653
341.80814,288.51653
381.48248,275.49638
378.80815,241.13153
414.80814,215.35153
423.44702,196.60872
400.27453,302.67813
467.5142,232.39834
358.30818,356.28394
362.31013,260.86634
361.97235,353.75177
328.69229,329.77784
389.30748,294.02822
384.02885,254.62292
385.97859,234.06397
420.67113,222.72774
384.29667,254.51378
393.47587,222.15617
334.81014,256.25016
310.32899,301.33929
352.30814,254.41403
334.80814,256.25153
310.48923,301.39158
416.30813,219.69404
427.30827,243.53888
452.30813,200.41404
415.79319,220.21374
349.80815,289.67652
377.30814,269.78903
378.71078,267.57668
349.8139,289.66987
377.30814,269.78903
379.39342,267.12601
388.0572,294.17443
364.30825,268.65394
365.30814,300.04903
379.30814,289.07903
364.30672,268.65701
365.29116,300.06983
377.85138,297.76443
339.9122,362.74426
352.80814,315.36153
372.30814,330.81401
407.17523,242.37745
431.87782,194.43788
434.61913,227.91816
423.93425,269.73348
432.84472,193.07266
436.82819,226.01795
473.80814,177.65653
450.49934,214.27506
478.80814,176.63153
473.80814,177.65653
379.7836,298.96225
365.80812,275.99624
362.30814,338.86403
343.25033,369.26677
365.8089,275.99746
362.30913,338.86279
400.30813,224.37405
412.30814,160.61406
433.66037,239.76652
468.30782,176.73426
488.80811,182.08152
441.80814,137.51653
468.30814,176.73403
367.85916,297.23795
391.08516,191.18889
357.31327,299.87908
461.80812,166.91655
401.80277,173.72246
430.30812,158.22406
396.30866,220.29361
421.30692,160.66984
374.80814,237.05153
396.30814,220.29403
382.30814,316.76403
363.30814,352.75903
383.7473,317.1209
382.30815,316.76402
384.80731,330.50239
365.67133,285.92134
390.0308,253.74706
405.49229,230.20024
383.91575,251.26504
471.30814,156.41903
406.30815,226.24403
445.30814,163.64903
386.82758,326.25245
371.80814,270.36653
335.80828,302.64657
386.65501,326.3498
380.21392,298.65691
336.13199,302.42185
347.30787,282.9408
343.30814,304.35903
387.81022,267.18423
347.30814,282.93903
343.30814,304.35903
355.24012,305.70509
418.20874,277.8564
468.92935,264.8582
427.24396,281.25043
430.26784,215.2883
441.80814,272.01653
421.31836,260.66045
403.67949,243.39064
441.8081,272.01652
421.30824,260.66871
386.8081,233.79162
370.31102,238.5259
420.32716,217.25301
408.54133,244.29377
370.3113,238.55046
420.30811,217.27406
429.30898,254.32497
441.30814,197.06903
444.29031,224.26051
445.80814,174.09653
441.30814,197.06903
440.60871,223.07733
416.30814,160.19403
