I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2645		1903	2	27	0	43	 18.0		 8.1		 8.1						INDONESIA		INDONESIA:  S OF JAVA	  -8.000	  106.000	170																								
2652		1903	5	13	6	34	  6.0	60	 7.9		 7.9						VANUATU		VANUATU ISLANDS	 -17.000	  168.000	170																								
2656	Tsu	1903	6	2	13	17			 8.3		 8.3						USA	AK	ALASKA:  SOUTHWEST	  61.560	 -158.540	150																								
2658		1903	8	8	1	10	    		 7.7						 7.7		COLOMBIA		COLOMBIA	   4.600	  -74.000	160																								
2660		1903	8	11	4	32	 54.0	100	 7.8		 7.8					11	GREECE		GREECE:  MITATA (KYTHERA)	  36.000	   23.000	130	       2	1						3					       2	1						3				
2665		1903	12	28	2	56		60	 7.8		 7.8					8	PHILIPPINES		PHILIPPINES:  DAVAO GULF	   7.000	  126.000	170								2				3								2				3
2666	Tsu	1904	1	20	14	52	  6.0	60	 7.9		 7.9						COLOMBIA		PANAMA-COLOMBIA	   7.000	  -79.000	160																								
2667		1904	3	18	13	42	    	40	 7.6						 7.6	10	JAPAN		JAPAN:  HOKKAIDO	  42.500	  145.800	30								1																
2670		1904	4	4	10	3		15	 7.5		 7.5					10	BULGARIA		BULGARIA:  STRUMA	  41.800	   23.200	110								3												3				
2671		1904	4	4	10	27		15	 7.8		 7.8					11	BULGARIA		BULGARIA:  STRUMA	  41.800	   23.200	110								3												3				
